GeometryNumber,ColumnName,ImputedValue,NeighborGeometryNumbers
25,WSS_min,CouldNotImpute,[]
25,WSS_TE_min,CouldNotImpute,[]
25,WSS_LE_min,CouldNotImpute,[]
25,WSS_TE_Area_min,CouldNotImpute,[]
25,WSS_LE_Area_min,CouldNotImpute,[]
25,WSS_Area_Bifur_min,CouldNotImpute,[]
22,WSS_TE,674.2150856348622,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_LE,818.0488071960478,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_TE_Area,0.2247544847237485,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_LE_Area,0.24857100503239912,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_Area_Bifur,0.881426911629051,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_TE_min,18.931080970220542,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_LE_min,7.094519010039081,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_TE_Area_min,0.0005758486680575848,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_LE_Area_min,5.2302529292648645e-05,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
22,WSS_Area_Bifur_min,2.4134519032547135e-05,"[np.float64(7.0), np.float64(16.0), np.float64(90.0), np.float64(6.0), np.float64(12.0)]"
14,WSS_TE,601.6621029312836,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_LE,796.2528870306089,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_TE_Area,0.20134677284538993,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_LE_Area,0.2441658312996806,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_Area_Bifur,0.87915497199906,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_TE_min,11.3682832776969,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_LE_min,5.428521687721785,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_TE_Area_min,0.000477933948122244,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_LE_Area_min,0.0,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
14,WSS_Area_Bifur_min,5.98702174097664e-05,"[np.float64(89.0), np.float64(29.0), np.float64(88.0), np.float64(98.0), np.float64(92.0)]"
13,v_distal,CouldNotImpute,[]
13,P_Loss_Coeff,CouldNotImpute,[]
13,WSS_LMB,CouldNotImpute,[]
