Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,321,,,,,,,0.910714286,2.55,,1.196532027,,,,,,,,,1.904761905,2.072829132,2.091503268,,,,,,,,,,1,garcia,0
Hyperemic,320,,,,,,,0.346774194,2.529411765,,2.848239186,,,,,,,,,1.214285714,1.524916944,3.501661124,,,,,,,,,,0,garcia,0
Hyperemic,54,3.01E-01,3,0.9,7.312828839,12.119358,33.04020169,0.842737951,2.529300165,0.471988863,1.555443341,232.5527115,925.3396628,0.104906821,0.187945616,0.24,0,0.24,LCX,3.594209457,3.943311326,4.264919426,0.924223152,1863.389237,1084.868221,2.143027843,2.967450936,5.176404848,0.006228525,0,0,0,mine,1
Hyperemic,114,5.88E-01,2.5,0.78,3.876016977,6.152654,26.672461,0.656405016,2.526625462,1.322561247,2.095906984,951.4213387,349.4313958,0.143300257,0.102440004,0.24,0.19,0.43,LAD,1.828532657,2.575320024,2.785677461,0.553093642,1376.376872,327.242436,1.329577339,1.382820795,3.196109474,0.004102829,0.000321462,0.000150235,0,mine,0
Hyperemic,34,5.88E-01,2.5,0.78,3.869900874,6.417136,28.63563676,0.653378853,2.522209806,1.338046451,2.070118626,1042.439594,379.0663565,0.14663327,0.111729742,0.43,0,0.43,LAD,1.907135156,2.579828661,2.918881055,0.621188617,1503.760284,362.853009,1.216785459,1.403350804,1.604850444,0.003321649,0.000804848,0.000376144,0,mine,0
Hyperemic,319,,,,,,,0.924528302,2.512820513,,1.121612782,,,,,,,,,2.4375,2.586734694,2.636479592,,,,,,,,,,0,garcia,0
Hyperemic,317,,,,,,,0.804597701,2.5,,1.736784868,,,,,,,,,2,2.142857143,2.485714286,,,,,,,,,,0,garcia,0
Hyperemic,318,,,,,,,0.817307692,2.5,,1.616447776,,,,,,,,,3.4,4.28,4.160000002,,,,,,,,,,0,garcia,0
Hyperemic,316,,,,,,,0.855555556,2.483870968,,1.531871974,,,,,,,,,3.924050633,4.433667598,4.586552686,,,,,,,,,,0,garcia,0
Hyperemic,315,,,,,,,0.774193548,2.482758621,,1.798075308,,,,,,,,,1.611111111,1.857253086,2.081018519,,,,,,,,,,0,garcia,0
